e x y z
Cl 13.043660794841232 -8.398519517487344 -26.33619272782789
C 12.407960794841232 -8.517809517487345 -22.85126172782789
H 13.422460794841234 -8.269299517487346 -23.03437872782789
Cl 12.339660794841235 -10.801529517487346 -12.27865272782789
C 11.036960794841233 -10.122889517487344 -13.84697272782789
C 9.717860794841235 -10.393049517487345 -13.49328272782789
H 9.433260794841233 -10.878139517487345 -12.55515272782789
C 8.687760794841234 -9.942629517487346 -14.43964272782789
H 7.652360794841234 -10.111939517487345 -14.21053272782789
C 9.241360794841233 -9.322189517487345 -15.52027272782789
Cl 9.079860794841233 -8.110729517487346 -17.67139272782789
C 10.493360794841232 -9.050959517487346 -15.89352272782789
Cl 11.449560794841235 -7.944709517487345 -17.98409272782789
C 11.508060794841233 -9.477479517487346 -14.985592727827889
H 12.539260794841232 -9.296689517487344 -15.212362727827891
Cl 20.030160794841237 17.262940482512654 -26.86654272782789
C 20.545060794841234 -19.367079517487344 -29.434472727827888
C 19.405460794841233 -18.845669517487345 -28.734502727827888
H 18.970560794841234 -19.351999517487346 -27.89017272782789
C 18.885260794841237 -17.741109517487345 -29.41202272782789
H 18.042460794841233 -17.303159517487344 -28.94088272782789
C 19.514360794841238 -17.069329517487347 -30.541182727827888
Cl 20.600160794841237 -15.966669517487345 -32.54738272782789
C 20.493760794841236 -17.687639517487344 -30.961302727827892
Cl -22.31794920515877 -17.002959517487344 -32.626892727827894
C 21.121160794841238 -19.052679517487345 -30.63226272782789
H 21.877160794841238 -19.620719517487345 -31.02810272782789
Cl 21.412960794841233 -17.245669517487343 -19.94172272782789
C 19.797960794841238 -17.202649517487345 -21.71209272782789
C 18.537360794841234 -17.530149517487345 -21.31693272782789
H 18.304860794841233 -17.812819517487345 -20.31415272782789
C 17.552860794841237 -17.556219517487346 -22.41653372782789
H 16.551760794841236 -17.819419517487347 -22.30358572782789
C 18.018360794841236 -17.233469517487343 -23.64978572782789
Cl 17.358960794841238 -17.035999517487344 -26.06841272782789
C 19.255660794841233 -16.902929517487344 -24.04986272782789
Cl 19.611260794841236 -16.244039517487344 -26.10361272782789
C 20.198060794841233 -16.859939517487344 -22.98187842782789
H 21.174860794841237 -16.579009517487346 -23.24682372782789
Cl 21.08416079484123 -16.886289517487345 -11.31525272782789
C 19.649060794841233 -17.144719517487346 -13.20148272782789
C 18.303260794841236 -17.180749517487346 -12.87755272782789
H 17.958760794841233 -17.117469517487343 -11.91995272782789
C 17.376360794841233 -17.270209517487345 -13.98611272782789
H 16.331260794841235 -17.306919517487344 -13.85045272782789
C 18.008060794841235 -17.305079517487346 -15.229912727827891
Cl 17.666960794841238 -17.428249517487345 -17.44056272782789
C 19.315560794841232 -17.289059517487345 -15.56440272782789
Cl 20.150960794841232 -17.391359517487345 -17.95149272782789
C 20.209460794841235 -17.200389517487345 -14.46874272782789
H 21.259860794841238 -17.176349517487346 -14.60162272782789
Cl 21.227160794841232 -9.434389517487345 -28.705022727827888
C 19.736160794841233 -9.177239517487346 -30.49727272782789
C 18.47606079484123 -9.552699517487346 -30.21006272782789
H 18.204160794841236 -9.885589517487345 -29.23568272782789
C 17.540360794841234 -9.536739517487344 -31.376842727827892
H 16.484660794841233 -9.767329517487346 -31.298002727827892
C 18.15736079484123 -9.112759517487344 -32.47166272782789
Cl 17.993560794841237 -8.538219517487345 33.499847272172104
C 19.38446079484123 -8.726799517487345 -32.79941272782789
Cl 20.357560794841234 -8.057969517487345 33.24624727217211
C 20.284860794841236 -8.765319517487345 -31.73692272782789
H 21.323460794841232 -8.622899517487344 -31.87360272782789
Cl 20.867660794841235 -10.112059517487346 -19.86420272782789
C 19.738360794841235 -9.210169517487346 -21.65158272782789
C 19.27186079484124 -7.975329517487345 -21.92027272782789
H 19.203760794841237 -7.2548495174873455 -21.16038272782789
C 18.829360794841236 -7.579219517487346 -23.25744372782789
H 18.561060794841232 -6.6103995174873456 -23.60683272782789
C 18.784560794841234 -8.572319517487346 -24.21151272782789
Cl 18.36946079484124 -9.312719517487345 -26.22075272782789
C 19.194760794841237 -9.851729517487346 -23.86920072782789
Cl 19.009260794841232 -11.352979517487345 -25.69008272782789
C 19.718260794841235 -10.241659517487346 -22.63030772782789
H 20.08116079484123 -11.224059517487346 -22.39309072782789
Cl 18.965060794841236 -7.2480695174873455 -14.29739272782789
C 17.799760794841234 -8.882739517487344 -15.85235272782789
C 16.480660794841235 -8.569319517487346 -15.75613272782789
H 16.12286079484123 -7.7751895174873455 -15.14482272782789
C 15.561460794841233 -9.303999517487345 -16.63954272782789
H 14.538960794841232 -9.111079517487346 -16.66237272782789
C 16.234460794841233 -10.135829517487345 -17.47023272782789
Cl 16.719060794841234 -11.724169517487345 -19.19613272782789
C 17.547160794841233 -10.482249517487345 -17.59650272782789
Cl 19.228460794841233 -11.845279517487345 -19.40925272782789
C 18.386460794841234 -9.812879517487346 -16.69166272782789
H 19.446360794841233 -9.973379517487345 -16.73725272782789
C 17.263960794841232 -12.884282517487346 -22.60839972782789
C 17.145560794841238 -14.148279517487346 -23.22776672782789
C 15.997160794841234 -14.524979517487346 -23.96179272782789
C 14.943560794841234 -13.580940517487345 -24.03857872782789
C 16.21596079484123 -11.925329517487345 -22.72573472782789
C 15.047060794841235 -12.281594517487346 -23.41608172782789
C 13.591660794841234 -13.637280517487346 -24.69288272782789
C 13.722060794841232 -11.494049517487346 -23.64340572782789
C 12.892260794841233 -12.487327517487346 -24.47770272782789
H 18.122960794841234 -12.605374517487345 -22.04497272782789
H 17.938360794841238 -14.826449517487346 -23.14264572782789
H 15.887360794841234 -15.494979517487344 -24.39738272782789
H 16.301760794841236 -10.977419517487345 -22.27312372782789
H 13.221860794841232 -14.431009517487345 -25.32022272782789
H 13.906160794841233 -10.597219517487346 -24.16941272782789
H 13.250260794841234 -11.272449517487345 -22.71457472782789
H 11.938660794841232 -12.281323517487346 -24.86442272782789
Cl -20.221749205158766 -1.949259517487345 -27.51093272782789
C -21.038279205158766 -1.1884595174873454 -29.46989272782789
C -22.27364920515877 -0.6827595174873444 -29.23235272782789
H 22.592460794841237 -0.739659517487345 -28.274752727827888
C 22.332360794841236 -0.05715951748734582 -30.39381272782789
H 21.405460794841233 0.42484048251265527 -30.33982272782789
